"perceptual decision making" -- "attention"
"plant signalling" -- "plant growth promoting rhizobacteria"
"plant signalling" -- "plant biology"
"magnetic resonance elastography" -- "inverse problems"
"lahars" -- "volcanology"
"applied zooarchaeology" -- "conservation biology"
"flavor chemistry" -- "beer"
"egyptology" -- "archaeology"
"oncology research" -- "hematology"
"land economics" -- "natural resource economics"
"isothermal microcalorimetry" -- "li-ion batteries"
"healthcare systems engineering" -- "quality engineering"
"experimental techniques" -- "coastal engineering"
"storia economica" -- "storia"
"storia economica" -- "storia moderna"
"experimental film" -- "critical theory"
"basic science" -- "blood pressure regulation"
"nitrogen vacancy" -- "photonic crystals"
"peers" -- "delinquency"
"nanotoxicologia" -- "nanotecnologia"
"cooling technologies" -- "heat"
"constructal theory" -- "thermal management"
"coral reef ecology" -- "conservation biology"
"coral reef ecology" -- "coral reef conservation"
"coral reef ecology" -- "coral biology"
"symbolic development" -- "drawing"
"reproductive epidemiology" -- "epidemiology"
"addiction psychiatry" -- "history of medicine"
"insect vision" -- "neuroethology"
"ebelik" -- "hemşirelik"
"ebelik" -- "etik"
"aerospace" -- "control"
"aerospace" -- "aeronautics"
"coral ecology" -- "climate change"
"statistical hydrology" -- "climate change"
"vygotsky" -- "psykologia"
"vygotsky" -- "science education"
"vygotsky" -- "role-playing games"
"transnational migration" -- "community engagement"
"instructional systems design" -- "telerehabilitation"
"water resources research" -- "climate change"
"respirology" -- "lung cancer"
"calcium carbonate" -- "biosensors"
"muscle function" -- "disease"
"human-machine interfaces" -- "prosthesis control"
"human-machine interfaces" -- "robotics"
"bioinorganic" -- "inorganic chemistry"
"cytotoxicity" -- "mab production"
"information policy" -- "information science"
"sea level" -- "climate change"
"sea level" -- "glacial isostatic adjustment"
"sea level" -- "coral reef geomorphology"
"cardiovascular sciences" -- "molecular biology"
"vaccinology" -- "immunology"
"vaccinology" -- "virology immunology"
"vaccinology" -- "poultry diseases"
"vaccinology" -- "infection immunity"
"skin aging" -- "biosensors"
"player experience" -- "digital games"
"documentación" -- "information science"
"fret" -- "protein clustering"
"fret" -- "biophysics"
"fret" -- "single molecule fluorescence"
"reactive distillation" -- "process simulation"
"science gateways" -- "cyberinfrastructure"
"military ethics" -- "philosophy"
"literature" -- "literary history"
"literature" -- "old english language"
"literature" -- "travel writing"
"literature" -- "german"
"literature" -- "the novel"
"literature" -- "literary theory"
"literature" -- "canadian"
"literature" -- "bible"
"literature" -- "american drama"
"literature" -- "creative writing"
"literature" -- "onomastics"
"literature" -- "russian language"
"literature" -- "narratology"
"literature" -- "medieval iberia"
"literature" -- "latin american poetry"
"literature" -- "arabic language"
"literature" -- "science fiction"
"literature" -- "philosophy"
"literature" -- "renaissance drama"
"literature" -- "eighteenth-century studies"
"survey sampling" -- "nonparametric regression"
"survey sampling" -- "statistics"
"intercultural learning" -- "intercultural communication"
"deposition" -- "particle dispersion"
"deposition" -- "energy"
"russian literature" -- "culture"
"russian literature" -- "dostoevsky"
"russian literature" -- "russian culture"
"functional neurosurgery" -- "neurosurgery"
"social practice theory" -- "sustainable consumption"
"events" -- "tourism"
"events" -- "festivals"
"environmental rhetoric" -- "writing studies"
"agricultural engineering" -- "precision agriculture"
"hip fracture" -- "biomechanics"
"hyperspectral image analysis" -- "image processing"
"work environment" -- "return to work"
"biomateriales" -- "ingeniería de tejidos"
"pension policy" -- "strategic management"
"perinatology" -- "obstetric ultrasound"
"perinatology" -- "gynecology"
"bioinspired materials" -- "biomaterials"
"phytoplancton" -- "ecologie"
"literatura medieval" -- "filología románica"
"literatura medieval" -- "historia cultural"
"literatura medieval" -- "humanismo"
"cosmetic dentistry" -- "prosthodontics"
"matematik" -- "bilgisayar"
"matematik" -- "istatistik"
"structural modelling" -- "computer programming"
"zoos" -- "parks"
"cognitive neuroscience of memory" -- "aging"
"eresearch" -- "cognitive computing"
"political theory" -- "democracy"
"political theory" -- "rawls"
"political theory" -- "turkish politics"
"political theory" -- "democratic theory"
"political theory" -- "history of political thought"
"political theory" -- "liberalism"
"political theory" -- "radical democracy"
"political theory" -- "political philosophy"
"chinese business" -- "entrepreneurship"
"humanidades digitales" -- "literatura"
"object" -- "face recognition"
"organic matter" -- "nutrient cycling"
"polytrauma" -- "trauma"
"interactive surfaces" -- "human-computer interaction"
"advanced ceramics" -- "nanomaterials"
"climate change policy" -- "energy policy"
"t cell immunology" -- "hiv"
"rheology" -- "polymer blends"
"rheology" -- "soft solids"
"rheology" -- "viscosity"
"rheology" -- "magnetorheology"
"rheology" -- "food colloids"
"rheology" -- "clay"
"rheology" -- "food materials science"
"rheology" -- "colloid transport"
"rheology" -- "microemulsion"
"rheology" -- "polymer solutions"
"rheology" -- "brownian dynamics"
"rheology" -- "polymer processing"
"rheology" -- "non-newtonian fluid mechanics"
"rheology" -- "foam rheology"
"rheology" -- "sludge"
"rheology" -- "polymers"
"rheology" -- "colloidal dispersions"
"rheology" -- "viscoelasticity"
"rheology" -- "scc"
"rheology" -- "food hydrocolloids"
"rheology" -- "hydrocolloids"
"rheology" -- "interfacial rheology"
"rheology" -- "complex fluids"
"rheology" -- "suspensions"
"rheology" -- "colloidal gels"
"rheology" -- "thermal transfer"
"rheology" -- "ionomer"
"industrial design engineering" -- "mass customization"
"health humanities" -- "health"
"faculty careers" -- "work"
"interest rates" -- "banking"
"granular flow" -- "fluid mechanics"
"granular flow" -- "particulate"
"biomedical text mining" -- "natural language processing"
"neuronal physiology" -- "neurodegenerative diseases"
"alternative media" -- "journalism"
"sistemas complexos" -- "radiobiologia"
"sistemas complexos" -- "gestão do conhecimento"
"intraflagellar transport" -- "primary cilia"
"ndt e" -- "photoacoustics"
"world heritage" -- "heritage"
"design" -- "artes visuais"
"design" -- "emotional design"
"design" -- "inspiration"
"design" -- "habitus"
"design" -- "participatory systems"
"design" -- "point of care testing"
"design" -- "systems analysis"
"design" -- "computação evolutiva"
"design" -- "analysis of experiments"
"design" -- "control of robotic systems"
"design" -- "user-centred design"
"design" -- "tipografia"
"design" -- "durability of concrete"
"design" -- "web navigation"
"design" -- "architecture"
"design" -- "decision support tools"
"design" -- "rna modeling"
"design" -- "antenna theory"
"design" -- "materiali"
"design" -- "object oriented analysis"
"design" -- "innovation"
"design" -- "tecnologia assistiva"
"design" -- "humanitarian design"
"design" -- "prototipagem rápida"
"design" -- "test automation"
"design" -- "têxtil"
"design" -- "colour imaging"
"design" -- "usabilidade"
"design" -- "design management"
"design" -- "design for sustainable behaviour"
"design" -- "ergonomia"
"design" -- "craft"
"design" -- "typography"
"design" -- "illustration"
"design" -- "packaging"
"design" -- "jeux vidéo"
"design" -- "supply chain network"
"design" -- "optimization of energy systems"
"design" -- "space mission analysis"
"design" -- "analysis of algorithms"
"design" -- "visual representation"
"design" -- "manufacturing"
"design" -- "multidisciplinary collaboration"
"design" -- "practice-led research"
"design" -- "product design"
"design" -- "design for assembly"
"design" -- "community planning"
"design" -- "proprietà intellettuale"
"multimedia delivery" -- "flamingo project"
"mode-locked lasers" -- "nonlinear optics"
"xenobiotics" -- "food chemistry"
"hybrid ac" -- "dc microgrid"
"digital culture" -- "social media"
"digital culture" -- "cultural informatics"
"digital culture" -- "game culture"
"global climate change" -- "sustainability"
"neuroimaging" -- "morphometry"
"neuroimaging" -- "independent component analysis"
"neuroimaging" -- "behavioral neurology"
"neuroimaging" -- "clinical neuroscience"
"neuroimaging" -- "diffusion tensor imaging"
"neuroimaging" -- "brain development"
"neuroimaging" -- "neuromodulation"
"neuroimaging" -- "kunstmatige intelligentie"
"neuroimaging" -- "brain decoding"
"neuroimaging" -- "brain image analysis"
"neuroimaging" -- "brain connectivity"
"neuroimaging" -- "neurocognition"
"neuroimaging" -- "affective disorders"
"neuroimaging" -- "mdd"
"neuroimaging" -- "frontotemporal lobar degeneration"
"neuroimaging" -- "brain networks"
"neuroimaging" -- "endophenotypes"
"neuroimaging" -- "comparative neuroscience"
"neuroimaging" -- "action perception"
"neuroimaging" -- "neurointervention"
"neuroimaging" -- "entropy"
"neuroimaging" -- "brain plasticity"
"neuroimaging" -- "multivariate pattern analysis"
"neuroimaging" -- "translational psychiatry"
"neuroimaging" -- "affective processes"
"neuroimaging" -- "striatum"
"neuroimaging" -- "tumor imaging"
"neuroimaging" -- "diffusion mri"
"neuroimaging" -- "cerebrospinal fluid"
"neuroimaging" -- "body perception"
"neuroimaging" -- "cerebrovascular reactivity"
"neuroimaging" -- "boredom"
"neuroimaging" -- "schizophrenia"
"neuroimaging" -- "neuroscience"
"neuroimaging" -- "neurowetenschappen"
"ultrafast cooling" -- "heat transfer enhancement"
"cerebral circulation" -- "stroke"
"indoor navigation" -- "computer vision"
"indoor navigation" -- "geoinformatik"
"indoor navigation" -- "cooperative localization"
"environmental discourse" -- "rhetoric"
"computerized adaptive testing" -- "item response theory"
"testosterone" -- "oxytocin"
"peptide assembly" -- "dynamical systems"
"intertemporal choice" -- "decision making"
"ghrelin" -- "obesity"
"analytical geochemistry" -- "environmental"
"chronic disease epidemiology" -- "prevention"
"classical reception" -- "comparative literature"
"erasure codes" -- "distributed systems"
"dreaming" -- "analytical psychology"
"dreaming" -- "demonology"
"dreaming" -- "sleep"
"computer applications" -- "professionalism"
"personnel psychology" -- "work"
"subsidies" -- "freshwater ecology"
"t cells" -- "immunology"
"marine ecosystem modeling" -- "marine biogeochemistry"
"computational sociolinguistics" -- "natural language processing"
"timed automata" -- "model checking"
"concrete technology" -- "geopolymer concrete"
"concrete technology" -- "cement chemistry"
"concrete technology" -- "construction materials"
"concrete technology" -- "concrete durability"
"concrete technology" -- "sustainable construction materials"
"biosenors" -- "electrokinetics"
"popular culture" -- "celebrity culture"
"popular culture" -- "sociology of time"
"popular culture" -- "public pedagogy"
"popular culture" -- "gender"
"popular culture" -- "public theology"
"popular culture" -- "information culture"
"popular culture" -- "higher education pedagogy"
"popular culture" -- "critical applied linguistics"
"popular culture" -- "gothic literature"
"popular culture" -- "youth culture"
"astrophysics" -- "gravitational waves"
"astrophysics" -- "black holes"
"astrophysics" -- "neutron stars"
"astrophysics" -- "astronomical instrumentation"
"astrophysics" -- "physics"
"astrophysics" -- "planetary nebulae"
"astrophysics" -- "stellar physics"
"astrophysics" -- "experimental quantum optics"
"astrophysics" -- "light pollution"
"astrophysics" -- "plasma physics"
"astrophysics" -- "radio astronomy"
"astrophysics" -- "cosmology"
"astrophysics" -- "agn"
"astrophysics" -- "intergalactic medium"
"astrophysics" -- "x-ray binaries"
"astrophysics" -- "cataclysmic variables"
