"perceptual decision making" -- "attention"
"artificial intelligence" -- "java"
"artificial intelligence" -- "inductive logic programming"
"artificial intelligence" -- "game programming"
"artificial intelligence" -- "algorithmic economics"
"artificial intelligence" -- "analogical reasoning"
"artificial intelligence" -- "cognitive vision"
"artificial intelligence" -- "mathematical logic"
"artificial intelligence" -- "adaptive learning"
"artificial intelligence" -- "neurocomputing"
"artificial intelligence" -- "clinical decision support systems"
"mesoporous" -- "nanopore"
"timed automata" -- "model checking"
"concrete technology" -- "geopolymer concrete"
"concrete technology" -- "cement chemistry"
"concrete technology" -- "construction materials"
"concrete technology" -- "concrete durability"
"concrete technology" -- "sustainable construction materials"
"american" -- "political economy"
"astrophysics" -- "gravitational waves"
"astrophysics" -- "black holes"
"astrophysics" -- "neutron stars"
"astrophysics" -- "physics"
"astrophysics" -- "star formation"
"astrophysics" -- "stellar physics"
"astrophysics" -- "astronomical instrumentation"
"astrophysics" -- "plasma physics"
"astrophysics" -- "radio astronomy"
"astrophysics" -- "cosmology"
"astrophysics" -- "agn"
"astrophysics" -- "intergalactic medium"
"astrophysics" -- "x-ray binaries"
"astrophysics" -- "x-ray astronomy"
"astrophysics" -- "supernovae"
"astrophysics" -- "galaxies"
"astrophysics" -- "space science"
"astrophysics" -- "gamma-ray bursts"
"astrophysics" -- "transients"
"astrophysics" -- "cataclysmic variables"
"astrophysics" -- "astronomy"
"astrophysics" -- "observational astronomy"
"brics" -- "us-china relations"
"portfolio selection" -- "mathematical finance"
"distributed cognition" -- "cognitive science"
"distributed cognition" -- "situated cognition"
"endophytes" -- "plant-microbe interactions"
"inovação" -- "competitividad"
"inovação" -- "empreendedorismo"
"inovação" -- "políticas públicas"
"inovação" -- "propriedade intelectual"
"indexing" -- "query processing"
"trademark" -- "copyright"
"quartz" -- "biosensors"
"quantum field theory in curved spacetimes" -- "quantum gravity"
"courts" -- "judges"
"courts" -- "law"
"mixed models" -- "bayesian statistics"
"enterprise architecture management" -- "software engineering"
"enterprise architecture management" -- "business information systems"
"nanopositioning" -- "robotics"
"altitude" -- "hypoxia"
"confocal microscopy" -- "immunohistochemistry"
"mass spectroscopy" -- "magnetism"
"nuclear cardiology" -- "cardiovascular magnetic resonance"
"nuclear cardiology" -- "nuclear medicine"
"stem" -- "tem"
"stem" -- "teknoloji"
"stem" -- "gender"
"stem" -- "social roles"
"stem" -- "eels"
"quantum many-body physics" -- "quantum information"
"amd" -- "retinal degeneration"
"workload characterization" -- "computer architecture"
"earnings quality" -- "corporate governance"
"xfel" -- "fusion"
"biologia vegetale" -- "agricoltura"
"nutrigenetics" -- "nutrigenomics"
"early psychosis" -- "qualitative"
"photopolymerization" -- "polymer chemistry"
"service systems" -- "text mining"
"mudanças climáticas" -- "meio ambiente"
"mineral chemistry" -- "materials characterisation"
"computer networks" -- "software defined networking"
"computer networks" -- "network measurement"
"computer networks" -- "distributed systems"
"computer networks" -- "routing"
"computer networks" -- "traffic measurements"
"computer networks" -- "internet measurement"
"computer networks" -- "computer communications"
"computer networks" -- "wireless networks"
"computer networks" -- "performance evaluation"
"computer networks" -- "network management"
"computer networks" -- "network performance"
"computer networks" -- "information-centric networking"
"computer networks" -- "network virtualization"
"computer networks" -- "future internet architecture"
"computer networks" -- "network security"
"computer networks" -- "network monitoring"
"computer networks" -- "flamingo project"
"computer networks" -- "network resilience"
"fraud" -- "auditing"
"interviewing" -- "deception detection"
"interviewing" -- "interrogation"
"transparent electrodes" -- "organizations"
"green ict" -- "green it"
"surface water quality" -- "remote sensing"
"electrophysiology" -- "cardiology"
"electrophysiology" -- "imaging techniques"
"electrophysiology" -- "neuroscience"
"electrophysiology" -- "neocortex"
"social signal processing" -- "communication sciences"
"social signal processing" -- "human interaction"
"social signal processing" -- "visual information processing"
"social signal processing" -- "affective computing"
"structural heart disease" -- "interventional cardiology"
"comparative public administration" -- "public management"
"debris disks" -- "exoplanets"
"corporate branding" -- "employer branding"
"water treatment" -- "disinfection by-products"
"water treatment" -- "membrane processes"
"water treatment" -- "water chemistry"
"water treatment" -- "aops"
"water treatment" -- "emerging contaminants"
"water treatment" -- "advanced oxidation"
"water treatment" -- "environmental nanoscience"
"water treatment" -- "fouling"
"water treatment" -- "disinfection"
"water treatment" -- "membrane separation"
"water treatment" -- "natural organic matter"
"water treatment" -- "capacitive deionization"
"water treatment" -- "micropollutants"
"water treatment" -- "membrane filtration"
"water treatment" -- "ion exchange"
"water treatment" -- "environmental engineering"
"water treatment" -- "desalination"
"water treatment" -- "advanced oxidation processes"
"information engineering" -- "problem posing"
"invariant theory" -- "representation theory"
"molecular microbiology" -- "bioinformatics"
"molecular microbiology" -- "mobile genetic elements"
"effective field theory" -- "gravitational waves"
"united states history" -- "american history"
"actin" -- "myosin"
"actin" -- "cytoskeleton"
"sensory systems" -- "computational neuroscience"
"psychological well-being" -- "quality of life"
"arabic language" -- "al-andalus"
"arabic language" -- "literature"
"k-theory" -- "operator algebras"
"neural crest" -- "emt"
"semicondutores" -- "materials science"
"heat treatment" -- "corrosion"
"pharmacometrics" -- "clinical pharmacology"
"pharmacometrics" -- "pd"
"pharmacometrics" -- "pediatric infectious diseases"
"radiotherapy physics" -- "polymer gel dosimetry"
"imaging genetics" -- "brain asymmetry"
"imaging genetics" -- "fmri"
"native american" -- "indigenous studies"
"native american" -- "healing"
"fault location" -- "smart grid"
"environmental biology" -- "ecology"
"telerilevamento" -- "geologia applicata"
"telerilevamento" -- "idrologia"
"experimental cosmology" -- "cosmic microwave background"
"algal biofuels" -- "carbon metabolism"
"expectations" -- "perception"
"cultural ecology" -- "evolutionary psychology"
"therapeutic endoscopy" -- "gastroenterology"
"coarse-graining" -- "statistical mechanics"
"policy analysis" -- "cost-benefit analysis"
"policy analysis" -- "public policy"
"sexual minorities" -- "psychopathology"
"bourdieu" -- "social mobility"
"química farmacéutica" -- "química médica"
"química farmacéutica" -- "bioquímica"
"laser physics" -- "nonlinear optics"
"phenomenology" -- "particle physics theory"
"phenomenology" -- "existentialism"
"phenomenology" -- "japanese culture"
"phenomenology" -- "continental philosophy"
"phenomenology" -- "particle theory"
"phenomenology" -- "hermeneutics"
"phenomenology" -- "heidegger"
"phenomenology" -- "deconstruction"
"phenomenology" -- "high energy theory"
"phenomenology" -- "philosophy"
"phenomenology" -- "merleau-ponty"
"aerosol-cloud interactions" -- "atmospheric chemistry"
"ofdma" -- "mimo"
"international education" -- "comparative"
"international education" -- "education"
"pavement engineering" -- "geotechnical engineering"
"pavement engineering" -- "asphalt technology"
"pavement engineering" -- "asphalt concrete"
"geospatial analysis" -- "gis"
"food analysis" -- "food chemistry"
"flapping wing aerodynamics" -- "computational fluid dynamics"
"uterine biology" -- "pregnancy"
"drug-drug interactions" -- "drug metabolism"
"2d materials" -- "complex oxide heterostructures"
"2d materials" -- "polymer electronics"
"2d materials" -- "organic semiconductor devices"
"2d materials" -- "transition metal dichalcogenides"
"2d materials" -- "iii-v materials"
"2d materials" -- "dichalcogenides"
"2d materials" -- "strain engineering"
"transición" -- "franquismo"
"transición" -- "siglo xix"
"critical geopolitics" -- "political geography"
"salutogenesis" -- "health promotion"
"ultrafast photonics" -- "femtosecond laser"
"reef fish ecology" -- "macroecology"
"contemporary poetry" -- "modernism"
"decentralization" -- "public economics"
"host" -- "pathogen interactions"
"united states" -- "russia"
"emergency preparedness" -- "community resilience"
"van der waals" -- "nanoscale thermal transport"
"renewable integration" -- "power systems"
"reading development" -- "dyslexia"
"solar wind" -- "plasma turbulence"
"solar wind" -- "sun"
"solar wind" -- "solar corona"
"solar wind" -- "magnetosphere"
"solar wind" -- "moon"
"transportation networks" -- "intelligent transportation systems"
"intelligent tutoring systems" -- "artificial intelligence in education"
"contemporary history" -- "nationalism studies"
"contemporary history" -- "cultural history"
"contemporary history" -- "storia contemporanea"
"contemporary history" -- "spanish civil war"
"contemporary history" -- "history of christianity"
"snp" -- "ssr"
"snp" -- "databases"
"speech processing" -- "semiconductor device modeling"
"speech processing" -- "machine learning"
"speech processing" -- "speech synthesis"
"speech processing" -- "text-to-speech"
"device simulation" -- "atomic force microscope"
"marine biogeochemistry" -- "oceanography"
"nano-optics" -- "plasmonics"
"sociology of knowledge" -- "social theory"
"insider trading" -- "corporate governance"
"mathematical optimization" -- "operations research"
"seismic isolation" -- "earthquake engineering"
"large-scale simulation" -- "computational materials science"
"health systems research" -- "public health"
"bioconjugation" -- "drug delivery"
"photolithography" -- "polymers"
"synchrophasors" -- "smart grid"
"motor neuron disease" -- "amyotrophic lateral sclerosis"
"cardiac electrophysiology" -- "cardiology"
"cardiac electrophysiology" -- "cardiac arrhythmias"
"cardiac electrophysiology" -- "general cardiology"
"cardiac electrophysiology" -- "sudden cardiac death"
"cardiac electrophysiology" -- "computational cardiology"
"cardiac electrophysiology" -- "cardiac modelling"
"cardiac electrophysiology" -- "ischemia-reperfusion injury"
"gene regulatory networks" -- "bioinformatics"
"coherence" -- "optoelectronics"
"geoconservation" -- "geology"
"reliable computing" -- "electronic design automation"
"child obesity" -- "nutrition"
"corporate crime" -- "state crime"
"marine spatial planning" -- "coastal"
"gas turbines" -- "combustion"
"gas turbines" -- "orc"
"pisa" -- "development"
"pisa" -- "mediterranean studies"
"algorithm engineering" -- "data structures"
"discurso" -- "prensa"
"discurso" -- "metodologia"
"primary education" -- "teacher education"
"homotopy theory" -- "category theory"
"defensins" -- "antimicrobial peptides"
"sampled-data control" -- "cooperative control"
"lung transplantation" -- "ecmo"
"lung transplantation" -- "interstitial lung disease"
"lung transplantation" -- "lung cancer"
"interface physics" -- "surface"
"protein formulation" -- "freeze-drying"
