"teacher professional development" -- "mathematics education"
"paleobotany" -- "paleoecology"
"medical informatics" -- "clinical decision support"
"tms" -- "fmri"
"mood disorders" -- "bipolar disorder"
"paleontology" -- "geology"
"paleontology" -- "paleoecology"
"sparse representation" -- "machine learning"
"vlsi" -- "computer architecture"
"clinical psychology" -- "anxiety disorders"
"heat" -- "mass transfer"
"public administration" -- "governance"
"e-commerce" -- "information systems"
"environmental biotechnology" -- "environmental engineering"
"controlled release" -- "biomaterials"
"rna biology" -- "genomics"
"medical devices" -- "biomedical engineering"
"motor development" -- "physical activity"
"ehealth" -- "health informatics"
"social media" -- "public relations"
"social media" -- "digital media"
"social media" -- "internet"
"paleoanthropology" -- "human evolution"
"smart structures" -- "structural health monitoring"
"evolution" -- "symbiosis"
"evolution" -- "animal behavior"
"evolution" -- "genomics"
"evolution" -- "phylogeny"
"evolution" -- "ecology"
"disasters" -- "resilience"
"computational geometry" -- "algorithms"
"computational geometry" -- "mesh generation"
"ophthalmology" -- "retina"
"ophthalmology" -- "cornea"
"memory" -- "oscillations"
"memory" -- "hippocampus"
"memory" -- "time"
"petri nets" -- "formal methods"
"intellectual capital" -- "knowledge management"
"biochemistry" -- "glycobiology"
"biochemistry" -- "enzymology"
"biochemistry" -- "ubiquitin"
"biochemistry" -- "protein science"
"biochemistry" -- "cell biology"
"wetlands" -- "biogeochemistry"
"network management" -- "computer networks"
"organometallic chemistry" -- "catalysis"
"organometallic chemistry" -- "homogeneous catalysis"
"marine conservation" -- "fisheries"
"distributed control" -- "robotics"
"mental health" -- "psychiatric epidemiology"
"routing" -- "computer networks"
"theranostics" -- "nanomedicine"
"applied statistics" -- "machine learning"
"qualitative methods" -- "gender"
"earth sciences" -- "geology"
"geopolitics" -- "political geography"
"dependability" -- "distributed systems"
"gut microbiota" -- "microbial ecology"
"fisheries" -- "fish ecology"
"fisheries" -- "ecology"
"energy" -- "gas"
"energy" -- "sustainability"
"energy" -- "ccs"
"energy" -- "catalysis"
"youth studies" -- "sociology"
"photogrammetry" -- "laser scanning"
"philosophy of language" -- "metaphysics"
"non-volatile memory" -- "computer architecture"
"system identification" -- "control"
"system identification" -- "parameter estimation"
"taphonomy" -- "paleoecology"
"seismic design" -- "earthquake engineering"
"rheology" -- "polymer blends"
"rheology" -- "complex fluids"
"navigation" -- "robotics"
"navigation" -- "positioning"
"visual servoing" -- "robotics"
"circuits" -- "systems"
"international education" -- "comparative"
"governance" -- "regulation"
"governance" -- "participation"
"micro" -- "mems"
"extracellular matrix" -- "biomaterials"
"mcmc" -- "bayesian statistics"
"active learning" -- "machine learning"
"revenue management" -- "pricing"
"conservation science" -- "ecology"
"quantitative finance" -- "financial econometrics"
"orthogonal polynomials" -- "approximation theory"
"groundwater modeling" -- "hydrogeology"
"model checking" -- "formal methods"
"business ethics" -- "corporate social responsibility"
"medical geography" -- "spatial epidemiology"
"aerospace" -- "control"
"concrete" -- "structures"
"concrete" -- "bridges"
"liquidity" -- "asset pricing"
"automatic control" -- "robotics"
"surface modification" -- "biomaterials"
"industrial organization" -- "international trade"
"industrial organization" -- "economics"
"organizational behavior" -- "human resource management"
"neutrophils" -- "immunology"
"implant dentistry" -- "prosthodontics"
"technology enhanced learning" -- "e-learning"
"communication technology" -- "information"
"judicial politics" -- "american politics"
"multilevel modeling" -- "structural equation modeling"
"neurodegeneration" -- "neuroprotection"
"philosophy of education" -- "education"
"prosody" -- "phonetics"
"microgrids" -- "renewable energy"
"sensors" -- "instrumentation"
"sensors" -- "mems"
"cilia" -- "cell biology"
"big data analysis" -- "machine learning"
"political science" -- "comparative politics"
"evolutionary biology" -- "behavioural ecology"
"evolutionary biology" -- "population genomics"
"evolutionary biology" -- "geometric morphometrics"
"evolutionary biology" -- "morphometrics"
"evolutionary biology" -- "ecology"
"evolutionary biology" -- "behavioral ecology"
"evolutionary biology" -- "social evolution"
"natural computing" -- "evolutionary computation"
"microbial evolution" -- "microbial ecology"
"information security" -- "cryptography"
"labour" -- "gender"
"nanomechanics" -- "solid mechanics"
"tectonic geomorphology" -- "active tectonics"
"optoelectronics" -- "semiconductor devices"
"optoelectronics" -- "devices"
"optoelectronics" -- "semiconductor physics"
"plant virology" -- "plant pathology"
"bio-inspired robotics" -- "robotics"
"electronic design automation" -- "computer-aided design"
"electronic design automation" -- "computer architecture"
"evolutionary computation" -- "artificial intelligence"
"evolutionary computation" -- "multi-objective optimization"
"lean construction" -- "building information modeling"
"string theory" -- "quantum field theory"
"attention" -- "visual cognition"
"attention" -- "executive function"
"risk management" -- "project management"
"sociology" -- "anthropology"
"sociology" -- "demography"
"sociology" -- "education"
"sociology" -- "criminology"
"partial differential equations" -- "applied analysis"
"partial differential equations" -- "calculus of variations"
"international relations theory" -- "international security"
"gene expression" -- "genomics"
"careers" -- "gender"
"sequencing" -- "genomics"
"discourse analysis" -- "multimodality"
"discourse analysis" -- "sociolinguistics"
"biomarker discovery" -- "proteomics"
"structural geology" -- "active tectonics"
"structural geology" -- "paleoseismology"
"cancer prevention" -- "tobacco control"
"biorefinery" -- "biofuels"
"neuroethology" -- "sensory biology"
"neuroethology" -- "neurobiology"
"liver transplantation" -- "hepatology"
"consumer research" -- "marketing"
"intelligent systems" -- "machine learning"
"immunotherapy" -- "immunology"
"sexual assault" -- "trauma"
"wireless sensors" -- "structural health monitoring"
"capital structure" -- "corporate finance"
"speech enhancement" -- "signal processing"
"project management" -- "construction"
"risk assessment" -- "toxicology"
"polyphenols" -- "antioxidants"
"data fusion" -- "robotics"
"renewable energy" -- "biofuels"
"renewable energy" -- "energy management"
"renewable energy" -- "wind power"
"intellectual history" -- "history of science"
"smart materials" -- "shape memory alloys"
"smart materials" -- "structures"
"multibody dynamics" -- "robotics"
"raman spectroscopy" -- "graphene"
"biomimetics" -- "robotics"
"pancreas" -- "liver"
"asset pricing" -- "financial econometrics"
"asset pricing" -- "corporate finance"
"formal languages" -- "automata theory"
"big data analytics" -- "machine learning"
"fault diagnosis" -- "signal processing"
"solid mechanics" -- "experimental mechanics"
"human-machine interaction" -- "robotics"
"computer networks" -- "internet measurement"
"computer networks" -- "performance evaluation"
"computer networks" -- "network measurement"
"computer networks" -- "distributed systems"
"computer networks" -- "software defined networking"
"localization" -- "robotics"
"x-ray scattering" -- "neutron scattering"
"seismic imaging" -- "geophysics"
"deep learning" -- "machine learning"
"orthodontics" -- "dentistry"
"altmetrics" -- "scientometrics"
"repair" -- "dna replication"
"multi-robot systems" -- "robotics"
"surgical robotics" -- "haptics"
"biofuels" -- "algae"
"biofuels" -- "fermentation"
"biofuels" -- "supercritical fluids"
"mathematical finance" -- "stochastic analysis"
"soil science" -- "biogeochemistry"
"soil science" -- "biochar"
"race" -- "gender"
"race" -- "ethnicity"
"prehistoria" -- "arqueologa"
"sexual violence" -- "gender"
"applied mathematics" -- "numerical"
"diaspora" -- "migration"
"archaea" -- "microbial ecology"
"prosthetics" -- "robotics"
"compression" -- "information theory"
"global change" -- "ecology"
"perovskite solar cells" -- "organic solar cells"
"molecular recognition" -- "supramolecular chemistry"
"environmental law" -- "international law"
"mofs" -- "catalysis"
"electrolytes" -- "batteries"
"personality disorders" -- "personality"
"epigenetics" -- "dna methylation"
"epigenetics" -- "chromatin biology"
"epigenetics" -- "transcription"
"meat science" -- "food science"
"humanoid robotics" -- "robotics"
"nonlinear" -- "adaptive control"
"television" -- "radio"
"organizational psychology" -- "industrial"
"soil" -- "water"
"type systems" -- "programming languages"
"morphology" -- "syntax"
"plant-herbivore interactions" -- "chemical ecology"
"nanomanufacturing" -- "mems"
"monetary economics" -- "macroeconomics"
"democratic theory" -- "political theory"
"publicidad" -- "comunicacin"
"data analytics" -- "machine learning"
"motivation" -- "engagement"
"structures" -- "earthquake engineering"
"film studies" -- "cultural studies"
"lipid metabolism" -- "diabetes"
"membrane trafficking" -- "cell biology"
"ai" -- "machine learning"
"nonlinear dynamics" -- "pattern formation"
"nonlinear dynamics" -- "complex systems"
"nonlinear dynamics" -- "chaos"
"selection" -- "personality"
"argumentation" -- "artificial intelligence"
"circadian rhythms" -- "sleep"
"bayesian statistics" -- "monte carlo methods"
"bayesian statistics" -- "machine learning"
"structural health monitoring" -- "structural control"
"structural health monitoring" -- "acoustic emission"
"filosofa" -- "sociologa"
"filosofa" -- "tica"
"econophysics" -- "complex systems"
"financial accounting" -- "managerial accounting"
"financial accounting" -- "international accounting"
"ethnography" -- "anthropology"
"invasion biology" -- "ecology"
"bioelectrochemistry" -- "electrochemistry"
"spatial epidemiology" -- "gis"
"comunicacin" -- "gnero"
"conservation planning" -- "conservation biology"
"computer architecture" -- "digital design"
"computer architecture" -- "parallel processing"
"control systems" -- "robotics"
"industrial economics" -- "economics of innovation"
"aerosol science" -- "air pollution"
"cell division" -- "cell biology"
"water treatment" -- "environmental engineering"
"water treatment" -- "advanced oxidation processes"
"soil organic matter" -- "biogeochemistry"
"ecological restoration" -- "forest ecology"
"e-learning" -- "mobile learning"
"sustainability" -- "resilience"
"sustainability" -- "green building"
"pedagogy" -- "education"
"pedagogy" -- "curriculum"
"didctica" -- "educacin"
"cultural studies" -- "gender studies"
"information systems" -- "e-business"
"volcanoes" -- "geophysics"
"human microbiome" -- "metagenomics"
"acoustics" -- "ultrasonics"
"acoustics" -- "vibration"
"patents" -- "intellectual property"
"cardiovascular disease" -- "diabetes"
"remediation" -- "environmental engineering"
"inference" -- "machine learning"
"gas hydrates" -- "flow assurance"
"information retrieval" -- "machine learning"
"social exclusion" -- "poverty"
"aerosols" -- "cloud"
"music information retrieval" -- "machine learning"
"history" -- "colonialism"
"history" -- "southeast asia"
"structural engineering" -- "earthquake engineering"
"structural engineering" -- "steel structures"
"tropical forest ecology" -- "conservation biology"
"particle astrophysics" -- "cosmology"
"speech recognition" -- "machine learning"
"data science" -- "machine learning"
"delinquency" -- "crime"
"delinquency" -- "juvenile justice"
"strongly correlated electrons" -- "condensed matter physics"
"bioarchaeology" -- "biological anthropology"
"culture" -- "gender"
"motion control" -- "robotics"
"combinatorics" -- "group theory"
"combinatorics" -- "number theory"
"colloids" -- "surfactants"
"colloids" -- "interfaces"
"cytokines" -- "immunology"
"cellular automata" -- "complex systems"
"robotics" -- "control engineering"
"robotics" -- "autonomous vehicles"
"robotics" -- "mechatronics"
"robotics" -- "control"
"robotics" -- "motion planning"
"robotics" -- "state estimation"
"robotics" -- "automation"
"robotics" -- "biorobotics"
"robotics" -- "cognitive systems"
"robotics" -- "haptics"
"robotics" -- "grasping"
"educacin" -- "gnero"
"educacin" -- "sociologa"
"nature of science" -- "science education"
"astrophysics" -- "cosmology"
"instructional design" -- "instructional technology"
"estimation theory" -- "signal processing"
"superconductivity" -- "strongly correlated electron systems"
"superconductivity" -- "condensed matter physics"
"gene regulation" -- "genomics"
"advertising" -- "marketing"
"transistors" -- "solar cells"
"phonetics" -- "phonology"
"paleoclimate" -- "glacial geology"
"feature selection" -- "machine learning"
"open government" -- "open data"
"geothermal" -- "geophysics"
"catalysis" -- "biomass conversion"
"catalysis" -- "electrochemistry"
"catalysis" -- "ionic liquids"
"catalysis" -- "dft"
"quantitative ecology" -- "conservation biology"
"machine vision" -- "artificial intelligence"
"environmental engineering" -- "chemical"
"environmental engineering" -- "environmental nanotechnology"
"environmental engineering" -- "chemical engineering"
"cad" -- "machine design"
"juvenile justice" -- "corrections"
"public relations" -- "strategic communication"
"geoinformatics" -- "gis"
"vehicle dynamics" -- "control"
"consumer" -- "marketing"
"fitness" -- "physical activity"
"childhood" -- "gender"
"dentistry" -- "prosthodontics"
"solid state ionics" -- "fuel cells"
"functional materials" -- "devices"
"aviation" -- "human factors"
"biophotonics" -- "biomedical optics"
"social innovation" -- "entrepreneurship"
"data" -- "machine learning"
"media history" -- "journalism"
"ecosystem ecology" -- "biogeochemistry"
"condensed matter theory" -- "strongly correlated systems"
"computer science" -- "programming"
"computer science" -- "artificial intelligence"
"computer science" -- "math"
"metaphysics" -- "philosophical logic"
"metaphysics" -- "philosophy of mind"
"decision analysis" -- "risk analysis"
"financial economics" -- "macroeconomics"
"chemistry" -- "materials"
"history of science" -- "technology"
"history of science" -- "history of medicine"
"animal ecology" -- "conservation biology"
"gender" -- "masculinity"
"gender" -- "education"
"gender" -- "modernism"
"gender" -- "intersectionality"
"gender" -- "sport"
"gender" -- "migration"
"gender" -- "consumption"
"control" -- "stability"
"control" -- "nonlinear systems"
"control" -- "flight dynamics"
"control" -- "identification"
"control" -- "decision"
"control" -- "power system dynamics"
"control" -- "automotive"
"membrane science" -- "technology"
"zoonoses" -- "emerging infectious diseases"
"neutron scattering" -- "magnetism"
"gene delivery" -- "biomaterials"
"flexible" -- "graphene"
"multimedia information retrieval" -- "machine learning"
"choice modelling" -- "marketing"
"file systems" -- "operating systems"
"image segmentation" -- "machine learning"
"nutrient cycling" -- "biogeochemistry"
"algebraic combinatorics" -- "representation theory"
"biomaterials" -- "dental materials"
"biomaterials" -- "nano"
"economics of innovation" -- "entrepreneurship"
"innovation management" -- "entrepreneurship"
"innovation management" -- "open innovation"
"fisheries science" -- "conservation biology"
"mixture models" -- "classification"
"nitrogen cycling" -- "microbial ecology"
"swarm robotics" -- "swarm intelligence"
"international economics" -- "macroeconomics"
"severe plastic deformation" -- "superplasticity"
"design research" -- "service design"
"marketing" -- "pricing"
"marketing" -- "services"
"marketing" -- "crm"
"marketing" -- "consumer culture"
"illness" -- "sociology of health"
"dti" -- "fmri"
"extremophiles" -- "microbial ecology"
"engineering seismology" -- "earthquake engineering"
"behavioral endocrinology" -- "animal behavior"
"information theory" -- "coding theory"
"information theory" -- "communication networks"
"neural networks" -- "machine learning"
"environmental epidemiology" -- "air pollution"
"planetary science" -- "geophysics"
"carbonate sedimentology" -- "isotope geochemistry"
"distributed systems" -- "operating systems"
"distributed systems" -- "fault tolerance"
"compensation" -- "human resource management"
"legal theory" -- "jurisprudence"
"fertility" -- "demography"
"spirituality" -- "religion"
"electromagnetics" -- "antenna design"
"operating systems" -- "storage systems"
"ecology" -- "mutualism"
"ecology" -- "environmental science"
"ecology" -- "population dynamics"
"ecology" -- "ecosystems"
"ecology" -- "limnology"
"ecology" -- "global change biology"
"ecology" -- "freshwater"
"ecology" -- "zoology"
"ecology" -- "conservation biology"
"2d materials" -- "graphene"
"bipolar disorder" -- "schizophrenia"
"damage" -- "fracture"
"sentence processing" -- "syntax"
"lithium ion batteries" -- "energy storage"
"human genetics" -- "genomics"
"microbial ecology" -- "biogeochemistry"
"intelligent tutoring systems" -- "artificial intelligence"
"mindfulness" -- "meditation"
"piezoelectric" -- "energy harvesting"
"forest ecology" -- "dendrochronology"
"environmental archaeology" -- "zooarchaeology"
"polymer physics" -- "polymer nanocomposites"
"groundwater" -- "hydrogeology"
"aerodynamics" -- "aircraft design"
"aerodynamics" -- "turbomachinery"
"protein folding" -- "protein misfolding"
"predictive modeling" -- "machine learning"
"parallel" -- "distributed computing"
"programming languages" -- "concurrency theory"
"programming languages" -- "domain-specific languages"
"biological anthropology" -- "skeletal biology"
"geodesy" -- "geophysics"
"semantics" -- "syntax"
"optimization algorithms" -- "machine learning"
"electrochemistry" -- "fuel cells"
"electrochemistry" -- "electrocatalyst"
"electrochemistry" -- "energy storage"
"electrochemistry" -- "chemical sensors"
"breast cancer" -- "prostate cancer"
"spatial ecology" -- "conservation biology"
"couples" -- "family therapy"
"organizational learning" -- "knowledge management"
"forensic psychology" -- "psychology"
"process intensification" -- "chemical engineering"
"image processing" -- "biomedical imaging"
"image processing" -- "video compression"
"image processing" -- "watermarking"
"religious studies" -- "religion"
"cell biology" -- "molecular"
"cell biology" -- "mitosis"
"language" -- "literacy"
"language" -- "music"
"alternative communication" -- "assistive technology"
"time series analysis" -- "machine learning"
"history of political thought" -- "political theory"
"hardware acceleration" -- "machine learning"
"land use" -- "land cover change"
"theory of computation" -- "algorithms"
"marriage" -- "family therapy"
"molecular physics" -- "atomic"
"multiscale methods" -- "reservoir simulation"
"assessment" -- "intervention"
"assessment" -- "personality"
"assessment" -- "feedback"
"tumor biology" -- "immunology"
"optimization theory" -- "machine learning"
"intelligence" -- "personality"
"pavement" -- "asphalt"
"computational linguistics" -- "corpus linguistics"
"mems" -- "energy harvesting"
"international law" -- "eu law"
"signal processing" -- "machine learning"
"signal processing" -- "adaptive filtering"
"signal processing" -- "compressed sensing"
"signal processing" -- "wavelets"
"signal processing" -- "time-frequency analysis"
"signal processing" -- "acoustic signal processing"
"vaccines" -- "immunology"
"computational social science" -- "machine learning"
"statistical learning" -- "machine learning"
"creep" -- "superplasticity"
"digital signal processing" -- "machine learning"
"optical physics" -- "atomic"
"animal communication" -- "animal behavior"
"geology" -- "geophysics"
"phonology" -- "historical linguistics"
"corporate finance" -- "entrepreneurial finance"
"mathematical logic" -- "artificial intelligence"
"rheumatology" -- "immunology"
"speech processing" -- "machine learning"
"healthcare informatics" -- "machine learning"
"fuel cells" -- "batteries"
"software development" -- "machine learning"
"social studies" -- "education"
"gis" -- "geospatial analysis"
"gis" -- "urban geography"
"political theory" -- "democracy"
"oxidative stress" -- "antioxidants"
"medical image processing" -- "machine learning"
"income distribution" -- "poverty"
"tectonophysics" -- "seismology"
"behavioural ecology" -- "sensory ecology"
"schools" -- "education"
"text analysis" -- "machine learning"
"popular music" -- "ethnomusicology"
"neuroinflammation" -- "microglia"
"classification" -- "machine learning"
"markov decision processes" -- "machine learning"
"general relativity" -- "cosmology"
"energy storage" -- "conversion"
"political methodology" -- "comparative politics"
"asthma" -- "cystic fibrosis"
"psychology" -- "education"
"personality" -- "individual differences"
"human factors" -- "ergonomics"
"neuroinformatics" -- "machine learning"
"child development" -- "education"
"automated planning" -- "artificial intelligence"
"complexity" -- "algorithms"
"pollination biology" -- "conservation biology"
"bayesian networks" -- "machine learning"
"quantitative genetics" -- "genomics"
"computer games" -- "artificial intelligence"
"congress" -- "american politics"
"metabolic engineering" -- "industrial biotechnology"
"algorithms" -- "computational complexity"
"algorithms" -- "theoretical computer science"
"algorithms" -- "machine learning"
"lignin" -- "cellulose"
"environmental education" -- "science education"
"democratization" -- "comparative politics"
"planning" -- "artificial intelligence"
"quality" -- "safety"
"hematology" -- "oncology"
"hematology" -- "transfusion medicine"
"criminological theory" -- "criminology"
"sociology of law" -- "criminology"
"critical pedagogy" -- "education"
"sociolinguistics" -- "linguistic anthropology"
"probabilistic modeling" -- "machine learning"
"multimedia retrieval" -- "machine learning"
"avian ecology" -- "conservation biology"
"dendritic cells" -- "immunology"
"political economy of development" -- "comparative politics"
"conservation biology" -- "movement ecology"
"conservation biology" -- "marine ecology"
"conservation biology" -- "tropical ecology"
"evolutionary game theory" -- "complex systems"
"seagrass" -- "marine ecology"
"skin cancer" -- "melanoma"
"oncology" -- "immunology"
"oncology" -- "urology"
"radar signal processing" -- "compressed sensing"
"distributed optimization" -- "machine learning"
"agricultural economics" -- "agricultural policy"
"teacher training" -- "education"
"theoretical particle physics" -- "cosmology"
"data visualization" -- "machine learning"
"biometrics" -- "authentication"
"biometrics" -- "pattern recognition"
"machine learning" -- "bayesian modeling"
"machine learning" -- "gaussian processes"
"machine learning" -- "biomedical informatics"
"machine learning" -- "numerical optimization"
"machine learning" -- "high-dimensional data"
"machine learning" -- "network analysis"
"machine learning" -- "artificial intelligence"
"machine learning" -- "pattern recognition"
"machine learning" -- "text mining"
"machine learning" -- "activity recognition"
"machine learning" -- "bayesian inference"
"machine learning" -- "statistical modeling"
"machine learning" -- "statistical signal processing"
"machine learning" -- "statistical inference"
"machine learning" -- "segmentation"
"technology" -- "education"
"technology" -- "food science"
"condensed matter physics" -- "magnetism"
"political institutions" -- "comparative politics"
"latin american politics" -- "comparative politics"
"software verification" -- "formal methods"
"atomic" -- "molecular"
"time series" -- "forecasting"
"tesol" -- "esl"
"migration" -- "multiculturalism"
"geophysics" -- "petrophysics"
"geophysics" -- "inversion"
"geophysics" -- "seismology"
"rock mechanics" -- "tunnelling"
"rock mechanics" -- "mining engineering"
"swarm intelligence" -- "artificial intelligence"
"manufacturing systems" -- "supply chain"
"comparative politics" -- "african politics"
"business strategy" -- "entrepreneurship"
"cosmology" -- "dark matter"
"food chemistry" -- "food science"
"international finance" -- "macroeconomics"
"reservoir characterization" -- "petrophysics"
"autoimmunity" -- "immunology"
"hci" -- "sts"
"immunogenetics" -- "immunology"
"single molecule biophysics" -- "molecular motors"
"crime" -- "criminology"
"pharmacometrics" -- "clinical pharmacology"
"knowledge engineering" -- "artificial intelligence"
"labour market" -- "education"
"copyright" -- "intellectual property"
"dance" -- "music"
